"yf-u4m6f0","yf-u4m6f0 2","yf-u4m6f0 3","yf-u4m6f0 4","yf-u4m6f0 5","yf-u4m6f0 6","yf-u4m6f0 7"
"Jul 1, 2025","6,954.39","6,971.24","6,885.14","6,915.36","6,915.36","149,285,200"
"Jun 30, 2025","6,936.06","6,949.28","6,876.26","6,927.68","6,927.68","167,652,600"
"Jun 26, 2025","6,842.01","6,897.40","6,817.41","6,897.40","6,897.40","154,075,100"
"Jun 25, 2025","6,908.92","6,918.78","6,814.74","6,832.14","6,832.14","170,914,900"
"Jun 24, 2025","6,864.28","6,924.97","6,852.11","6,869.17","6,869.17","186,087,300"
"Jun 23, 2025","6,833.48","6,834.77","6,745.15","6,787.14","6,787.14","226,947,900"
"Jun 20, 2025","6,948.28","6,956.81","6,873.72","6,907.14","6,907.14","331,625,100"
"Jun 19, 2025","7,107.79","7,115.90","6,935.01","6,968.64","6,968.64","222,226,000"
"Jun 18, 2025","7,155.12","7,166.67","7,089.46","7,107.79","7,107.79","180,387,400"
"Jun 17, 2025","7,163.03","7,181.47","7,143.60","7,155.85","7,155.85","173,034,400"
"Jun 16, 2025","7,158.90","7,211.54","7,117.59","7,117.59","7,117.59","224,577,700"
"Jun 13, 2025","7,191.12","7,192.66","7,149.61","7,166.06","7,166.06","230,230,400"
"Jun 12, 2025","7,219.56","7,237.27","7,191.90","7,204.37","7,204.37","281,607,200"
"Jun 11, 2025","7,232.68","7,239.96","7,172.20","7,222.46","7,222.46","262,581,600"
"Jun 10, 2025","7,136.86","7,230.75","7,133.38","7,230.75","7,230.75","265,169,800"
"Jun 5, 2025","7,100.24","7,136.64","7,083.89","7,113.42","7,113.42","193,147,800"
"Jun 4, 2025","7,083.24","7,094.45","7,052.91","7,069.04","7,069.04","232,777,400"
"Jun 3, 2025","7,071.64","7,090.35","6,994.16","7,044.82","7,044.82","199,730,400"
"Jun 2, 2025","7,134.49","7,152.91","7,035.84","7,065.07","7,065.07","240,143,000"
"May 28, 2025","7,223.51","7,237.34","7,166.68","7,175.82","7,175.82","277,488,600"
"May 27, 2025","7,204.17","7,212.57","7,162.96","7,198.97","7,198.97","245,398,700"
"May 26, 2025","7,231.48","7,240.08","7,129.39","7,188.35","7,188.35","331,040,000"
"May 23, 2025","7,206.36","7,223.25","7,177.25","7,214.16","7,214.16","152,151,100"
"May 22, 2025","7,165.10","7,190.67","7,136.78","7,166.98","7,166.98","201,247,200"
"May 21, 2025","7,114.70","7,170.72","7,109.22","7,142.46","7,142.46","228,188,900"
"May 20, 2025","7,164.15","7,202.82","7,088.62","7,094.60","7,094.60","219,667,500"
"May 19, 2025","7,113.44","7,160.66","7,085.97","7,141.09","7,141.09","227,261,200"
"May 16, 2025","7,092.23","7,106.53","7,009.85","7,106.53","7,106.53","239,677,400"
"May 15, 2025","7,003.15","7,076.74","7,002.37","7,040.16","7,040.16","343,582,300"
"May 14, 2025","6,915.96","6,987.78","6,914.75","6,979.88","6,979.88","272,470,100"
"May 9, 2025","6,849.45","6,882.32","6,811.77","6,832.80","6,832.80","164,380,000"
"May 8, 2025","6,945.98","6,965.93","6,824.65","6,827.75","6,827.75","260,892,400"
"May 7, 2025","6,925.25","6,970.50","6,909.96","6,926.23","6,926.23","187,668,100"
"May 6, 2025","6,860.45","6,913.69","6,858.15","6,898.20","6,898.20","162,346,800"
"May 5, 2025","6,844.37","6,879.11","6,824.40","6,831.95","6,831.95","194,998,400"
"May 2, 2025","6,811.11","6,818.28","6,765.83","6,815.73","6,815.73","183,083,600"
"Apr 30, 2025","6,755.46","6,791.25","6,725.97","6,766.79","6,766.79","210,149,800"
"Apr 29, 2025","6,748.99","6,763.89","6,724.32","6,749.08","6,749.08","193,012,300"
"Apr 28, 2025","6,716.21","6,738.35","6,688.78","6,722.97","6,722.97","164,549,400"
"Apr 25, 2025","6,660.62","6,683.36","6,640.78","6,678.92","6,678.92","169,030,400"
"Apr 24, 2025","6,671.07","6,697.90","6,585.46","6,613.48","6,613.48","159,090,300"
"Apr 23, 2025","6,589.33","6,642.92","6,588.26","6,634.38","6,634.38","184,488,000"
"Apr 22, 2025","6,455.08","6,538.32","6,428.10","6,538.27","6,538.27","150,312,500"
"Apr 21, 2025","6,450.31","6,472.54","6,406.80","6,445.97","6,445.97","108,855,100"
"Apr 17, 2025","6,407.02","6,438.27","6,384.29","6,438.27","6,438.27","131,124,200"
"Apr 16, 2025","6,461.27","6,469.60","6,373.79","6,400.05","6,400.05","142,022,700"
"Apr 15, 2025","6,444.34","6,497.53","6,395.93","6,441.68","6,441.68","147,079,600"
"Apr 14, 2025","6,225.34","6,404.07","6,225.34","6,368.52","6,368.52","149,701,700"
"Apr 11, 2025","6,195.57","6,298.78","6,148.78","6,262.23","6,262.23","117,642,700"
"Apr 10, 2025","6,270.61","6,310.83","6,188.67","6,254.02","6,254.02","181,443,500"
"Apr 9, 2025","5,978.44","6,092.41","5,949.60","5,967.99","5,967.99","150,044,400"
"Apr 8, 2025","5,914.29","6,036.55","5,882.60","5,996.14","5,996.14","184,790,800"
"Mar 27, 2025","6,462.60","6,510.62","6,417.24","6,510.62","6,510.62","121,855,500"
"Mar 26, 2025","6,314.33","6,489.15","6,312.97","6,472.36","6,472.36","159,762,700"
"Mar 25, 2025","6,197.99","6,265.30","6,178.49","6,235.62","6,235.62","111,267,000"
"Mar 24, 2025","6,242.23","6,269.90","5,967.19","6,161.22","6,161.22","124,187,900"
"Mar 21, 2025","6,418.39","6,426.17","6,218.60","6,258.18","6,258.18","190,225,100"
"Mar 20, 2025","6,372.61","6,446.89","6,353.69","6,381.67","6,381.67","146,168,800"
"Mar 19, 2025","6,221.20","6,332.73","6,147.43","6,311.66","6,311.66","126,795,800"
"Mar 18, 2025","6,458.67","6,465.22","6,011.84","6,223.39","6,223.39","233,069,600"
